subjectform	subjectPos	subject_Type	objectForm	objectPos	object_Type	relation	relationposTags
Franco-Am�ricain	product	Christian Dior	brand	a travaill� pour les marques	V VPP P DET NC	
VIP pour Elle	product	Playboy	brand	de	P	
Dior Addict Lip Glow	product	Sephora	product	, Baume l�vres R�v�lateur de couleur	PONCT NPP P NC	
Volcanic	brand	Atomic	brand	et	CC	
The Emotion & Beauty Lab	division	Pr Jean Cotte	not_identified	et élève du	CC V P	
Luxe	division	Cosm�tique active	division	et	CC	
Atelier végétal dYves Rocher	not_identified	Kiehl's	brand	ou des boutiques	CC DET NC	
Scandal Eyes	product	Rimmel	brand	de	P	
Liftactiv Sérum 10	product	Vichy	brand	de	P	
L'Or�al	not_identified	Henkel	not_identified	, Diadermine chez	PONCT NPP P	
Lingerie	product	Peau	brand	de	P	
BB cream	product	Clarins	brand	de	P	
Asiatique	product	Am�ricaine	product	ou une	CC DET	
Sabiluc	division	Hei Poa	division	( Naturelle dArgan ,	PONCT ADJ NPP	
Dahlia Noir Eau	product	Parfums Givenchy	brand	de parfum	P NC	
Sylvie	product	Verreries Brosse	product	de France , flacon :	P NPP PONCT NC	
Oréal Paris	not_identified	Haute expertise	range	enrichit sa gamme capillaire	V DET NC ADJ	
Fuel for Life	not_identified	Eau for Him	product	l'	DET	
Nocib�	brand	Carrefour	brand	et	CC	
Faubourg-Saint-Antoine	not_identified	Bastille � Paris	not_identified	pr�s de la	V P DET	
Orange sanguine	product	Atelier Cologne	brand	d'	P	
Autre marque	brand	L'Or�al Luxe	group	de	P	
DD Cream	product	DermEden	brand	de	P	
Marionnaud	not_identified	Hutchison	not_identified	( �galement propri�t� d'	PONCT NC P	
Showroompriv�	not_identified	Vente-priv�e	not_identified	et	CC	
Perfect Mousse	product	Schwarzkopf	brand	de	P	
Responsable laboratoire capillaires	division	L'Or�al	not_identified	chez	P	
Coty	not_identified	L'Or�al	not_identified	, Essie chez	PONCT NPP P	
Cologne	not_identified	Herboriste	not_identified	de l'	P DET	
Nivea	not_identified	MDD Casino	not_identified	mais aussi la	CC ADV DET	
Nestl� Waters	not_identified	ITM Entreprise Alimentaire International	group	avant de rejoindre	P VINF	
efforts	not_identified	La Vie est Belle	product	sur	P	
Eucerin	brand	Hansaplast	brand	et	CC	
Cologne	not_identified	Herboriste	not_identified	de l'	P DET	
Poudre Transparente	product	Sisley	brand	de	P	
Unilever	brand	L'Or�al	brand	et	CC	
Grand Public	division	Produits professionnels	division	, Cosm�tique active et	PONCT NPP CC	
Auriège	brand	Ariège	not_identified	tire son origine de l'	V DET NC P	
Mia2	product	Clarisonic	brand	de	P	
Nivea Sun	product	Sun Fluid	product	et le	CC DET	
Lingerie	product	Peau	brand	de	P	
Clé	brand	Peau	group	de	P	
Oréal luxe	not_identified	Rouge Volupté shine	product	lance en février	V P NC	
Alliance Boots	not_identified	Walgreen Company	group	et de	CC P	
Chambre Noire	brand	Olfactive Studio	group	d'	P	
La Vie est belle	product	Lanc�me	not_identified	chez	P	
Buy Paris Duty Free	not_identified	Soci�t�	not_identified	de la	P DET	
Vert pop	product	Crazy Rose	product	( 03 ) et	PONCT ADJ CC	
Nude Magique	range	CC creams	range	, pas moins de trois	PONCT ADV P NC	
L'Or�al Paris	brand	Age Perfect	range	propose , sous sa franchise	V PONCT P DET NC	
Spray UV	product	Institut Esthederm	not_identified	inCellium Bronzant d'	ET P	
Le vernis 3D	product	Nocib�	brand	de	P	
Luxe	division	L'Oréal	group	de	P	
Hypn�se Drama	product	Lanc�me	brand	de	P	
L'Or�al Luxe	brand	Sport	product	) apr�s un parfum	PONCT V DET NC	
Sunset	product	Sleek Makeup	brand	de	P	
Timotei	brand	Axe	brand	et	CC	
Color Tattoo 24H	range	Gemey-Maybelline	not_identified	chez	P	
Widelash	not_identified	Procapil	not_identified	, une version du	PONCT DET NC P	
Color Elixir	product	Maybelline	brand	de	P	
U Parfumerie	product	Syst�me U	not_identified	chez	P	
Bronze Goddess	product	Est�e Lauder	brand	d'	P	
Mini Crème	product	Nectar of Nature	product	de douche hydratante	P NC ADJ	
Éclat	range	Arpège	brand	d'	P	
Vaste programme	not_identified	La Vie est Belle	product	pour	P	
Cologne	not_identified	Herboriste	not_identified	de l'	P DET	
Cosm�tique active international	division	L'Or�al	group	de	P	
création	not_identified	Acqua di Gio	product	d'	P	
Unexpected Rosy Taupe	not_identified	Luxurious Gold	product	et	CC	
L'Oréal Luxe	not_identified	Fnac	not_identified	et dirigé la	CC VPP DET	
Givenchy	brand	Peace	not_identified	( LVMH ) ou	PONCT NPP CC	
La Vie est Belle	product	Lanc \'f4me	brand	de	P	
